                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 0.7103,                0.58954,                 1.0334,                 0.9455,                0.96661,                0.99028,                0.83901,                0.66674,                0.49415,                 1.0272,             0.00010266,             0.00010266,             0.00010266
                     97,                0.71429,                0.58936,                 1.0357,                0.97695,                0.98467,                0.99073,                0.84527,                0.64707,                 0.4307,                 1.0163,             0.00010171,             0.00010171,             0.00010171
                     98,                0.74324,                0.57466,                 1.0417,                0.96852,                0.98979,                0.99279,                 0.8528,                0.62163,                0.40988,                 1.0126,             0.00010076,             0.00010076,             0.00010076
                     99,                0.72688,                0.59127,                 1.0532,                0.97338,                 0.9829,                0.99275,                0.85061,                0.63545,                0.42115,                 1.0278,             9.9811e-05,             9.9811e-05,             9.9811e-05
                    100,                 0.7387,                 0.6255,                 1.0443,                0.96952,                0.98144,                0.99308,                0.85866,                0.60639,                0.42232,                 1.0036,             9.8861e-05,             9.8861e-05,             9.8861e-05
                    101,                0.70819,                0.59686,                 1.0372,                0.97561,                0.97504,                0.99321,                0.85071,                 0.6383,                0.41872,                 1.0176,              9.791e-05,              9.791e-05,              9.791e-05
                    102,                0.69489,                0.55846,                 1.0417,                0.97162,                0.99082,                0.99296,                0.84521,                0.64554,                0.41563,                 1.0252,              9.696e-05,              9.696e-05,              9.696e-05
                    103,                0.70047,                0.57263,                 1.0309,                0.96877,                0.98046,                0.99139,                0.84598,                0.63683,                0.43502,                 1.0209,              9.601e-05,              9.601e-05,              9.601e-05
                    104,                0.70772,                0.56486,                 1.0265,                0.96236,                0.97759,                0.99169,                0.86008,                0.60504,                0.43962,                 1.0019,             9.5059e-05,             9.5059e-05,             9.5059e-05
                    105,                0.70561,                0.55488,                 1.0378,                0.96836,                0.98799,                0.99235,                0.85731,                0.61526,                0.42761,                  1.006,             9.4109e-05,             9.4109e-05,             9.4109e-05
                    106,                0.71676,                0.56822,                 1.0273,                0.97857,                 0.9914,                0.99361,                0.86077,                0.61538,                0.40258,                 1.0082,             9.3158e-05,             9.3158e-05,             9.3158e-05
                    107,                0.69534,                 0.5591,                 1.0372,                0.97481,                0.98796,                0.99297,                0.85863,                0.60539,                0.39891,                 0.9978,             9.2208e-05,             9.2208e-05,             9.2208e-05
                    108,                0.68753,                0.56185,                 1.0275,                0.97804,                0.98592,                0.99362,                0.86135,                0.60807,                0.39864,                0.99408,             9.1258e-05,             9.1258e-05,             9.1258e-05
                    109,                0.69036,                 0.5413,                 1.0247,                0.97969,                0.98865,                0.99309,                0.86041,                 0.6058,                0.38182,                0.99032,             9.0307e-05,             9.0307e-05,             9.0307e-05
                    110,                0.70636,                0.54314,                 1.0396,                0.97704,                0.98875,                0.99303,                0.83263,                0.70329,                0.41747,                 1.0498,             8.9357e-05,             8.9357e-05,             8.9357e-05
                    111,                 0.6935,                0.55359,                 1.0107,                0.97573,                 0.9905,                0.99293,                0.86454,                0.58929,                0.39573,                0.98603,             8.8406e-05,             8.8406e-05,             8.8406e-05
                    112,                0.68189,                0.53136,                 1.0127,                 0.9796,                0.98828,                0.99341,                0.86633,                0.57937,                0.40055,                0.98898,             8.7456e-05,             8.7456e-05,             8.7456e-05
                    113,                0.67809,                0.54241,                 1.0118,                0.98521,                0.98571,                0.99304,                0.86344,                 0.5872,                0.38442,                0.99838,             8.6506e-05,             8.6506e-05,             8.6506e-05
                    114,                0.66306,                0.55311,                 1.0104,                0.97636,                0.98632,                0.99306,                0.86635,                0.58903,                0.38601,                0.98986,             8.5555e-05,             8.5555e-05,             8.5555e-05
                    115,                0.67296,                0.57564,                 1.0164,                0.97845,                0.99189,                0.99308,                0.85427,                0.63052,                0.40264,                 1.0031,             8.4605e-05,             8.4605e-05,             8.4605e-05
                    116,                0.66988,                 0.5211,                 1.0163,                0.97985,                0.99106,                0.99269,                0.84999,                0.64874,                 0.4125,                 1.0103,             8.3654e-05,             8.3654e-05,             8.3654e-05
                    117,                0.66547,                0.54109,                 1.0143,                0.98035,                0.98995,                0.99344,                0.86177,                0.59634,                0.38473,                0.99119,             8.2704e-05,             8.2704e-05,             8.2704e-05
                    118,                0.68549,                0.56507,                 1.0171,                0.97908,                 0.9876,                0.99402,                0.86801,                0.57678,                0.38409,                0.98224,             8.1754e-05,             8.1754e-05,             8.1754e-05
                    119,                0.66726,                0.53483,                0.99926,                 0.9783,                0.99113,                0.99337,                 0.8665,                0.57246,                0.38553,                0.98367,             8.0803e-05,             8.0803e-05,             8.0803e-05
                    120,                0.69319,                0.54068,                 1.0321,                0.98044,                0.98906,                0.99208,                0.86324,                0.58666,                0.38177,                0.99191,             7.9853e-05,             7.9853e-05,             7.9853e-05
                    121,                0.66286,                0.51482,                 1.0085,                0.97915,                0.99132,                0.99327,                0.86133,                0.59375,                0.37399,                0.99311,             7.8902e-05,             7.8902e-05,             7.8902e-05
                    122,                0.67884,                0.51487,                  1.011,                0.97768,                0.98618,                 0.9932,                0.86737,                0.57983,                0.37901,                0.97601,             7.7952e-05,             7.7952e-05,             7.7952e-05
                    123,                0.67959,                0.51361,                 1.0171,                0.98238,                0.99148,                0.99369,                0.86643,                0.58742,                0.36955,                0.98705,             7.7002e-05,             7.7002e-05,             7.7002e-05
                    124,                0.65866,                0.50468,                 1.0085,                0.98619,                0.99141,                 0.9937,                0.87689,                0.56113,                0.35942,                0.97171,             7.6051e-05,             7.6051e-05,             7.6051e-05
                    125,                0.65535,                0.51131,                 1.0045,                0.97861,                0.99356,                 0.9936,                0.86218,                0.60849,                0.38004,                0.99254,             7.5101e-05,             7.5101e-05,             7.5101e-05
                    126,                0.66412,                0.52092,                 1.0105,                0.97889,                0.98815,                0.99389,                0.87445,                 0.5623,                0.37233,                0.97256,              7.415e-05,              7.415e-05,              7.415e-05
                    127,                0.66214,                 0.5039,                0.99814,                0.98471,                0.98657,                0.99377,                  0.873,                0.56585,                0.36807,                0.97198,               7.32e-05,               7.32e-05,               7.32e-05
                    128,                0.65957,                0.50347,                 1.0118,                 0.9856,                0.99119,                0.99328,                0.87612,                0.56387,                0.35235,                0.97287,              7.225e-05,              7.225e-05,              7.225e-05
                    129,                0.65987,                0.51948,                 1.0024,                0.98317,                0.98843,                0.99341,                0.87064,                0.57511,                0.36697,                0.97848,             7.1299e-05,             7.1299e-05,             7.1299e-05
                    130,                0.64513,                 0.5177,                0.99425,                0.98273,                 0.9918,                0.99399,                0.87106,                0.58121,                0.36549,                0.98253,             7.0349e-05,             7.0349e-05,             7.0349e-05
                    131,                0.65623,                0.50516,                 1.0018,                0.98313,                0.99285,                0.99404,                0.87584,                0.56625,                0.35334,                0.96777,             6.9398e-05,             6.9398e-05,             6.9398e-05
                    132,                0.65479,                0.48977,                 1.0078,                0.98379,                0.99323,                0.99361,                0.86317,                0.59362,                0.36144,                0.98554,             6.8448e-05,             6.8448e-05,             6.8448e-05
                    133,                0.63538,                0.48201,                0.99555,                0.98067,                0.99099,                0.99392,                0.87114,                0.57601,                0.36158,                0.98319,             6.7498e-05,             6.7498e-05,             6.7498e-05
                    134,                0.65044,                0.50287,                0.99364,                0.98216,                0.98036,                0.99326,                0.87965,                0.54564,                0.36836,                0.96502,             6.6547e-05,             6.6547e-05,             6.6547e-05
                    135,                0.63798,                0.50202,                0.99884,                0.98353,                0.99175,                0.99397,                0.88061,                0.54625,                0.34618,                 0.9606,             6.5597e-05,             6.5597e-05,             6.5597e-05
                    136,                0.63509,                0.48221,                0.98878,                0.98356,                0.99177,                0.99406,                0.88059,                0.54361,                0.34182,                0.95921,             6.4646e-05,             6.4646e-05,             6.4646e-05
                    137,                0.62282,                0.50519,                      1,                0.98028,                0.99128,                0.99416,                0.87952,                0.54539,                0.34626,                0.96407,             6.3696e-05,             6.3696e-05,             6.3696e-05
                    138,                0.61377,                0.48708,                0.97528,                0.98456,                0.99191,                0.99407,                0.88002,                0.54205,                0.34616,                0.96036,             6.2746e-05,             6.2746e-05,             6.2746e-05
                    139,                0.62081,                0.50177,                0.99753,                0.98162,                 0.9921,                0.99431,                0.88174,                0.54702,                0.35247,                0.96197,             6.1795e-05,             6.1795e-05,             6.1795e-05
                    140,                0.62989,                0.47591,                0.99117,                0.98492,                0.99013,                0.99446,                0.88259,                0.54429,                0.34675,                0.96121,             6.0845e-05,             6.0845e-05,             6.0845e-05
                    141,                0.61351,                0.48304,                0.98768,                0.98751,                0.99118,                0.99436,                0.87967,                0.54723,                0.34123,                0.95901,             5.9894e-05,             5.9894e-05,             5.9894e-05
                    142,                0.63347,                0.48433,                0.99135,                0.98635,                0.99138,                0.99399,                0.87901,                 0.5501,                 0.3485,                0.96485,             5.8944e-05,             5.8944e-05,             5.8944e-05
                    143,                  0.628,                0.48757,                 0.9917,                0.98161,                0.99246,                0.99387,                0.87655,                0.54688,                0.34752,                0.95863,             5.7994e-05,             5.7994e-05,             5.7994e-05
                    144,                0.62771,                0.49004,                0.98694,                0.98203,                0.99019,                0.99377,                0.88248,                0.53384,                0.34817,                0.95225,             5.7043e-05,             5.7043e-05,             5.7043e-05
                    145,                0.61753,                0.47848,                0.98531,                 0.9777,                0.98994,                0.99425,                0.88541,                0.52915,                0.34429,                0.94648,             5.6093e-05,             5.6093e-05,             5.6093e-05
                    146,                 0.6337,                0.48355,                0.98683,                0.98696,                0.99012,                0.99406,                0.88478,                 0.5336,                0.33808,                0.95107,             5.5142e-05,             5.5142e-05,             5.5142e-05
                    147,                0.63285,                0.48022,                0.98946,                0.98635,                0.98845,                0.99427,                0.88621,                0.52957,                0.33624,                 0.9509,             5.4192e-05,             5.4192e-05,             5.4192e-05
                    148,                0.61771,                0.48285,                0.98261,                0.98814,                0.98976,                 0.9946,                0.89134,                0.50514,                0.32871,                0.94286,             5.3242e-05,             5.3242e-05,             5.3242e-05
